"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8763","locators","chromium","Tue Jul 22 17:24:54 IST 2025","passed","Tue Jul 22 17:25:02 IST 2025","","facebook.spec.js","",""
"","9162","Keyboard Actions","chromium","Tue Jul 22 17:25:46 IST 2025","passed","Tue Jul 22 17:25:56 IST 2025","","Keyboard.spec.js","",""
